timestamp,elapsed_sec,host,message_id,kafka_processing_time_ms,kg_mapping_time_ms,kg_load_time_ms,kg_total_time_ms,end_to_end_time_ms
1781165931.985,30.98,host1,1781165930256058707,3.008,652.849,86.674,739.522,742.531
1781165940.908,39.9,host1,1781165940286047366,2.697,562.731,20.189,582.919,585.617
1781165951.013,50.01,host1,1781165950369839452,2.707,518.995,84.032,603.027,605.735
1781165960.991,59.99,host1,1781165960403917684,2.669,524.848,20.197,545.045,547.716
1781165971.096,70.09,host1,1781165970457014639,2.654,569.933,21.332,591.265,593.922
1781165981.186,80.18,host1,1781165980509437579,3.36,585.632,28.001,613.634,616.996
1781165991.273,90.27,host1,1781165990553743364,2.63,598.269,59.042,657.312,659.943
1781166001.328,100.32,host1,1781166000610431091,3.539,640.796,24.511,665.307,668.848
1781166011.387,110.38,host1,1781166010653258201,2.989,656.254,23.464,679.718,682.709
1781166021.383,120.38,host1,1781166020694076175,3.627,607.326,27.245,634.572,638.201
1781166031.537,130.53,host1,1781166030742035040,3.139,715.444,23.131,738.575,741.717
1781166041.493,140.49,host1,1781166040784891513,3.427,627.929,22.31,650.239,653.668
1781166051.485,150.48,host1,1781166050814514503,3.255,594.739,18.331,613.07,616.327
1781166061.586,160.58,host1,1781166060844558786,4.019,625.426,28.398,653.824,657.845
1781166071.609,170.61,host1,1781166070872663427,2.73,603.014,22.515,625.529,628.261
1781166081.626,180.62,host1,1781166080903190233,2.625,637.874,20.784,658.658,661.284
1781166091.729,190.73,host1,1781166090944899922,3.249,684.461,31.718,716.178,719.43
1781166101.62,200.62,host1,1781166100976760104,2.579,534.378,54.159,588.536,591.116
1781166111.615,210.61,host1,1781166111007587985,3.192,529.561,18.257,547.817,551.01
1781166121.68,220.68,host1,1781166121039474393,2.722,560.38,24.227,584.607,587.331
1781166131.674,230.67,host1,1781166131080122295,2.562,520.98,18.59,539.569,542.133
1781166141.718,240.71,host1,1781166141110246485,4.11,533.659,16.299,549.957,554.069
1781166151.781,250.78,host1,1781166151151894312,2.814,552.802,21.324,574.126,576.942
1781166161.782,260.78,host1,1781166161191061068,2.693,518.666,16.751,535.417,538.111
1781166171.874,270.87,host1,1781166171281318889,2.761,519.128,15.427,534.555,537.317
1781166181.951,280.95,host1,1781166181304344607,2.383,570.955,17.997,588.952,591.337
1781166191.926,290.92,host1,1781166191334577413,2.864,518.257,16.332,534.588,537.453
