metric,count,mean,std,min,p90,p95,p99,median,max,source_file,unit
kafka_processing_time_ms,27.0,3.0,0.449,2.383,3.574,3.901,4.086,2.814,4.11,host1_performance.csv,ms
kg_mapping_time_ms,27.0,583.899,56.548,518.257,654.211,675.999,707.388,570.955,715.444,host1_performance.csv,ms
kg_load_time_ms,27.0,28.935,19.167,15.427,56.112,76.535,85.987,22.31,86.674,host1_performance.csv,ms
kg_total_time_ms,27.0,612.834,61.662,534.555,694.302,731.856,739.276,603.027,739.522,host1_performance.csv,ms
end_to_end_time_ms,27.0,615.836,61.783,537.317,697.397,735.031,742.319,605.735,742.531,host1_performance.csv,ms
kafka_processing_time_ms,27.0,3.035,0.643,2.234,4.14,4.294,4.686,2.801,4.802,host2_performance.csv,ms
kg_mapping_time_ms,27.0,587.305,71.231,515.877,643.097,656.891,806.006,563.698,856.937,host2_performance.csv,ms
kg_load_time_ms,27.0,23.372,7.76,17.49,26.411,27.145,51.079,22.247,59.484,host2_performance.csv,ms
kg_total_time_ms,27.0,610.677,71.835,534.293,664.648,679.186,830.498,597.858,881.477,host2_performance.csv,ms
end_to_end_time_ms,27.0,613.714,72.062,537.897,667.33,682.144,834.842,600.234,886.282,host2_performance.csv,ms
