host,asset_id,samples,health_score_mean,health_score_median,health_score_min,health_score_max,health_score_std,level_of_trust_mean,level_of_trust_median,level_of_trust_min,level_of_trust_max,level_of_trust_std,health_below_100_samples,lot_below_100_samples,health_below_100_time_sec_est,lot_below_100_time_sec_est
host1,/node[name=host1]/bm/net/if[name=enp0s9],27,75.18518518518519,90.0,40,100,27.786323471804835,75.29629629629629,75.0,40.0,100.0,22.88737444164159,17,21,170.67999999999998,210.83999999999997
host1,/node[name=host1]/bm/net,27,96.14814814814815,98.0,91,100,4.1016291669727805,96.17037037037038,95.9,91.0,100.0,3.4205054523940683,17,21,170.67999999999998,210.83999999999997
host1,/node[name=host1],27,99.62962962962963,100.0,99,100,0.49210287762341137,99.62962962962963,99.7,99.0,100.0,0.3881066614048009,10,16,100.40000000000003,160.64000000000004
host1,/node[name=host1]/bm,27,99.62962962962963,100.0,99,100,0.49210287762341137,99.62962962962963,99.7,99.0,100.0,0.3881066614048009,10,16,100.40000000000003,160.64000000000004
host1,/node[name=host1]/bm/cpus,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/cpus/cpu[name=cpu0],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/cpus/cpu[name=cpu1],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/cpus/cpu[name=cpu],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/disks,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/disks/disk[name=cgroup2],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/disks/disk[name=loop0],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/disks/disk[name=loop1],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/disks/disk[name=loop2],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/disks/disk[name=loop3],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/disks/disk[name=loop4],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/disks/disk[name=loop5],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/disks/disk[name=sda2],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/disks/disk[name=systemd-1],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/mem,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/net/if[name=br-858e2815bf25],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/net/if[name=docker0],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/net/if[name=enp0s8],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/net/if[name=lo],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/proc,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host1,/node[name=host1]/bm/sensors,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/cpus,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/cpus/cpu[name=cpu0],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/cpus/cpu[name=cpu1],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/cpus/cpu[name=cpu],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/disks,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/disks/disk[name=cgroup2],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/disks/disk[name=loop0],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/disks/disk[name=loop1],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/disks/disk[name=loop2],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/disks/disk[name=loop3],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/disks/disk[name=loop4],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/disks/disk[name=loop5],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/disks/disk[name=sda2],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/disks/disk[name=systemd-1],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/mem,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/net,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/net/if[name=br-858e2815bf25],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/net/if[name=docker0],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/net/if[name=enp0s3],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/net/if[name=enp0s8],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/net/if[name=enp0s9],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/net/if[name=lo],27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/proc,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
host2,/node[name=host2]/bm/sensors,27,100.0,100.0,100,100,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0
