host,asset_id,metric,worst_value,elapsed_sec,timestamp_dt,historical_average,source_file
host1,/node[name=host1]/bm/net/if[name=enp0s9],health_score,40.0,119.74,2026-06-11 08:20:20.747999907,95.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/net,health_score,91.0,119.74,2026-06-11 08:20:20.746999979,99.0,host1_host_timeseries.csv
host1,/node[name=host1],health_score,99.0,119.74,2026-06-11 08:20:20.744999886,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm,health_score,99.0,119.74,2026-06-11 08:20:20.744999886,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/cpus,health_score,100.0,30.24,2026-06-11 08:18:51.242000103,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/cpus/cpu[name=cpu0],health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/cpus/cpu[name=cpu1],health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/cpus/cpu[name=cpu],health_score,100.0,30.24,2026-06-11 08:18:51.242000103,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks,health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=cgroup2],health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop0],health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop1],health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop2],health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop3],health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop4],health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop5],health_score,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=sda2],health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=systemd-1],health_score,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/mem,health_score,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/net/if[name=br-858e2815bf25],health_score,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/net/if[name=docker0],health_score,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/net/if[name=enp0s8],health_score,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/net/if[name=lo],health_score,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/proc,health_score,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/sensors,health_score,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/net/if[name=enp0s9],level_of_trust,40.0,179.96,2026-06-11 08:21:20.967000008,40.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/net,level_of_trust,91.0,179.96,2026-06-11 08:21:20.966000080,91.0,host1_host_timeseries.csv
host1,/node[name=host1],level_of_trust,99.0,179.96,2026-06-11 08:21:20.964999914,99.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm,level_of_trust,99.0,179.96,2026-06-11 08:21:20.964999914,99.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/cpus,level_of_trust,100.0,30.24,2026-06-11 08:18:51.242000103,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/cpus/cpu[name=cpu0],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/cpus/cpu[name=cpu1],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/cpus/cpu[name=cpu],level_of_trust,100.0,30.24,2026-06-11 08:18:51.242000103,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks,level_of_trust,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=cgroup2],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop0],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop1],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop2],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop3],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop4],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=loop5],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=sda2],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243000031,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/disks/disk[name=systemd-1],level_of_trust,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
host1,/node[name=host1]/bm/mem,level_of_trust,100.0,30.24,2026-06-11 08:18:51.243999958,100.0,host1_host_timeseries.csv
