name,path,severity,rule
Low Fan Speed,/node/bm/sensors/sensor,Red,input_fanspeed<100
Receive Errors Peak,/node/bm/net/if,Orange,1min(dynamicity(rx_error))>100
Receive Drops Peak,/node/bm/net/if,Orange,1min(dynamicity(rx_drop))>10000
Transmit Errors Peak,/node/bm/net/if,Orange,1min(dynamicity(tx_error))>100
Transmit Drops Peak,/node/bm/net/if,Orange,1min(dynamicity(tx_drop))>100
Receive Errors Peak,/node/kb/net/if,Orange,1min(dynamicity(rx_error))>100
Receive Drops Peak,/node/kb/net/if,Orange,1min(dynamicity(rx_drop))>10000
Transmit Errors Peak,/node/kb/net/if,Orange,1min(dynamicity(tx_error))>100
Transmit Drops Peak,/node/kb/net/if,Orange,1min(dynamicity(tx_drop))>100
Network High Rx bytes,/node/bm/net/if,Orange,1min(dynamicity(rx_bytes))>1073741824
Network High Rx bytes for 5 min,/node/bm/net/if,Red,5min(dynamicity(rx_bytes))>107374182
Network High Tx bytes,/node/bm/net/if,Orange,1min(tx_bytes)>1073741824
Network High Tx bytes for 5 min,/node/bm/net/if,Orange,5min(tx_bytes)>1073741824
Network High Rx packets,/node/bm/net/if,Red,1min(dynamicity(rx_packets))>15737418
