name,rule
Free memory available,free>50
Free CPU,idle_time>90
Free VM CPU,idle_time>90
Swap volume in use,swap_used!=0
No free memory available,free<50
No free memory available for 1 min,1min(free)<50
No free memory available,free<50
No free memory available for 1 min,1min(free)<50
No free hugepages available,pages_free==0
Bare Metal CPU High Load (Idle <70%),idle_time<70
No CPU idle time for 1 min,1min(idle_time)<=1
No CPU idle time for 5 min,5min(idle_time)<=1
No CPU idle time for 1 min,1min(idle_time)<=1
No CPU idle time for 5 min,5min(idle_time)<=1
Sensor reached maximum temperature,input_temp>=max_temp
Sensor reached critical temperature,input_temp>=critical_temp
Low Fan Speed,input_fanspeed<100
Zombie Threads,zombie_count>0
No SSH access to VM,ssh==0
No ARP Entry For Default Gateway,"(state==""up"") and (gw_in_arp==0)"
Non-standard Ethernet MTU,"(mtu!=1500) and (type==""ether"")"
Interface Flapping,1min(dynamicity(changes_count))>=6
Receive Errors Peak,1min(dynamicity(rx_error))>100
Receive Drops Peak,1min(dynamicity(rx_drop))>10000
Transmit Errors Peak,1min(dynamicity(tx_error))>100
Transmit Drops Peak,1min(dynamicity(tx_drop))>100
No Buffers available for GSO,dynamicity(gso_no_buffers)>0
Packet dropped due to missing mbuf,dynamicity(rx_no_buffer)>0
Missing buffer in ip4-input,dynamicity(ip4_input_out_of_buffers)>0
Fragment chain too long,dynamicity(ip4_input_fragment_chain_too_long)>0
Destination lookup miss,dynamicity(ip4_input_destination_lookup_miss)>0
Receive Errors Peak,1min(dynamicity(rx_error))>100
Receive Drops Peak,1min(dynamicity(rx_drop))>10000
Transmit Errors Peak,1min(dynamicity(tx_error))>100
Transmit Drops Peak,1min(dynamicity(tx_drop))>100
Low Buffer Availability,(buffer_free/buffer_total)<0.1
DPDK Buffer Alloc Errors,dynamicity(dpdk_alloc_errors)>0
Average process number greater than expected,dynamicity(sleep_count)+dynamicity(run_count)>5
High CPU usage warning,user_time>10
High Disk IO Time,1min(io_time)>80
