Configuración;Modelo Base;Modelo LLM;Peso LLM;Threshold;Precision (%);Recall (%);F1-Score (%)
Híbrido (40% BM25 + 60% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,60;0,40;80,03;81,36;80,69
Híbrido (30% BM25 + 70% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,70;0,40;74,69;84,98;79,51
Híbrido (60% BM25 + 40% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,40;0,30;82,14;76,77;79,37
Híbrido (30% BM25 + 70% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,70;0,30;70,54;90,26;79,19
Híbrido (50% BM25 + 50% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,50;0,30;72,15;87,20;78,97
Híbrido (30% Keyword Matching + 70% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,70;0,30;71,19;88,32;78,83
Híbrido (40% BM25 + 60% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,60;0,30;70,15;89,57;78,68
Híbrido (50% BM25 + 50% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,50;0,40;84,03;73,16;78,22
Solo LLM (gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;1,00;0,50;71,66;85,81;78,10
Híbrido (40% Keyword Matching + 60% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,60;0,30;71,53;85,95;78,08
Híbrido (40% Keyword Matching + 60% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,60;0,40;81,90;74,27;77,90
Híbrido (30% BERT (TF-IDF+BERT) + 70% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,70;0,50;76,55;79,00;77,75
Híbrido (30% BERT (TF-IDF+BERT) + 70% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,70;0,40;70,40;86,65;77,68
Híbrido (40% BERT (TF-IDF+BERT) + 60% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,60;0,40;70,57;86,37;77,67
Híbrido (50% BERT (TF-IDF+BERT) + 50% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,50;0,40;71,20;85,26;77,59
Solo LLM (gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;1,00;0,70;81,65;73,02;77,09
Híbrido (60% BM25 + 40% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,40;0,30;77,84;76,22;77,02
Solo LLM (gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;1,00;0,40;66,91;90,54;76,95
Híbrido (40% BERT (TF-IDF+BERT) + 60% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,60;0,50;77,62;76,22;76,91
Híbrido (50% BM25 + 50% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,50;0,30;69,76;85,67;76,90
Híbrido (40% BM25 + 60% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,60;0,40;75,17;78,72;76,90
Híbrido (50% BM25 + 50% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,50;0,40;81,05;73,16;76,90
