query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r31;r22;r29;r20;r30;r28;r26
Deploy a database server that must maintain memory above 50% free at all times,r2;r4;r32;r1;r5;r3;r33
Create a video streaming VM with protection against overheating and fan failures,r13
Set up a game server with zero network latency spikes and stable SSH access,r29;r31;r30;r28;r13;r26
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,None
Deploy a critical analytics server with no memory exhaustion risks,r5;r3;r4;r10;r2;r32;r1;r33;r8;r12
Create a high-security server with MTU 1500 enforcement and gateway monitoring,None
Implement a financial trading system with network interface stability guarantees,r18;r28;r30;r19;r21;r31;r24;r20;r22;r26;r17;r29;r23;r27;r33;r25;r16
Build a IoT edge node with temperature controls and fan speed safeguards,r13
Deploy a machine learning host protected against CPU overload scenarios,r9;r7;r10;r8
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r26
Create a Kubernetes master node with network error rate monitoring,r30;r28;r19;r21;r33;r31;r24;r26;r29;r27;r20;r23;r25;r18;r22;r16;r17
Setup a blockchain node with DPDK network safeguards and CPU headroom,r30;r28;r31;r26;r29;r33;r27;r24;r23;r25;r21;r19;r20;r22;r16
Implement a real-time streaming service with RX/TX error prevention,None
Deploy a high-frequency trading system with zero packet drops,r20;r29
Create an AI inference server with memory buffer monitoring,r32;r33;r4;r2;r5;r3;r1
Provision a medical imaging with guaranteed CPU availability,None
Setup a DNS server with ARP consistency and MTU compliance,None
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r33;r2;r4;r3;r32
Implement a backup server with network flap protection,r18;r28;r30;r19;r21;r20;r24;r31;r26;r22;r29;r23;r33;r27;r17;r25;r16
Deploy a video rendering farm with thermal controls and memory safeguards,r2;r32;r4;r3;r5;r1;r33
Setup a mail server with RX error monitoring and buffer protection,r33
Implement a system with CPU utilization guarantees,r7;r9
Deploy a monitoring server with packet integrity safeguards,r31
Create a low-latency database cluster with network stability,r28;r30;r19;r21;r31;r20;r22;r29;r24;r23;r13;r17;r27;r26;r18;r25;r33;r16
Provision a node with DPDK optimizations and error detection,r30;r28;r33
Setup a virtualization host with memory buffer guarantees,r4;r32;r5;r2;r33;r1;r3
Implement a system with temperature fail-safes,r11
Deploy a mobile backend with SSH access monitoring,r15
Create a distributed cache system with network drop prevention,r29;r20;r28;r30;r26;r24;r33;r31;r23;r27;r25;r21;r19;r18;r16;r22;r17
Provision a big data analytics node with CPU thermal protection,None
