query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r22;r20;r31;r29;r21;r19;r17;r25;r16;r28;r30;r27;r26;r23;r18;r33;r24;r13;r5;r3;r10;r1;r8;r4;r2;r32;r7;r9;r12;r11;r15;r14;r6
Deploy a database server that must maintain memory above 50% free at all times,r33;r5;r1;r3;r32;r4;r2;r16;r25;r23;r20;r22;r17;r26;r19;r21;r31;r29;r27;r30;r28;r24;r13;r10;r8;r18;r9;r7;r12;r14;r11;r15;r6
Create a video streaming VM with protection against overheating and fan failures,r10;r5;r8;r13;r3;r16;r12;r23;r7;r31;r9;r25;r26;r29;r14;r30;r28;r17;r4;r24;r22;r33;r27;r32;r1;r20;r2;r21;r19;r18;r11;r6;r15
Set up a game server with zero network latency spikes and stable SSH access,r22;r20;r21;r19;r17;r29;r31;r28;r30;r25;r16;r18;r33;r26;r27;r23;r24;r13;r5;r1;r3;r2;r4;r10;r8;r32;r12;r11;r7;r9;r15;r14;r6
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r33;r5;r23;r10;r16;r25;r8;r26;r27;r3;r32;r31;r29;r4;r1;r24;r9;r22;r30;r28;r20;r17;r2;r7;r21;r19;r18;r13;r12;r14;r15;r11;r6
Deploy a critical analytics server with no memory exhaustion risks,r5;r3;r16;r13;r33;r10;r8;r12;r1;r23;r25;r32;r2;r26;r4;r31;r17;r29;r30;r28;r20;r22;r19;r21;r27;r24;r18;r7;r14;r9;r11;r15;r6
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r16;r23;r17;r25;r28;r30;r29;r27;r31;r26;r5;r21;r19;r13;r33;r24;r20;r10;r22;r3;r18;r8;r32;r1;r2;r14;r12;r4;r9;r7;r15;r11;r6
Implement a financial trading system with network interface stability guarantees,r31;r22;r29;r17;r18;r19;r21;r26;r20;r23;r30;r28;r25;r33;r16;r27;r24;r13;r5;r3;r1;r4;r2;r32;r10;r8;r12;r15;r11;r7;r14;r9;r6
Build a IoT edge node with temperature controls and fan speed safeguards,r13;r16;r25;r17;r21;r19;r23;r20;r22;r28;r30;r33;r26;r31;r29;r18;r27;r5;r3;r24;r8;r10;r2;r1;r12;r32;r11;r4;r14;r7;r9;r6;r15
Deploy a machine learning host protected against CPU overload scenarios,r10;r8;r9;r7;r5;r3;r16;r23;r33;r25;r26;r13;r4;r1;r32;r31;r2;r27;r29;r30;r28;r17;r24;r22;r21;r19;r20;r18;r12;r14;r15;r11;r6
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r33;r23;r25;r16;r32;r5;r3;r26;r27;r29;r31;r28;r30;r24;r13;r1;r20;r2;r17;r10;r22;r8;r21;r19;r18;r4;r12;r14;r7;r9;r6;r11;r15
Create a Kubernetes master node with network error rate monitoring,r25;r23;r29;r30;r28;r31;r26;r17;r20;r19;r21;r27;r22;r16;r33;r24;r18;r13;r5;r10;r3;r8;r1;r2;r32;r4;r7;r9;r12;r14;r11;r15;r6
Setup a blockchain node with DPDK network safeguards and CPU headroom,r25;r29;r27;r26;r31;r23;r33;r28;r30;r16;r24;r20;r22;r17;r19;r21;r18;r13;r32;r5;r3;r1;r10;r8;r2;r4;r7;r9;r12;r14;r11;r15;r6
