Model,Ollama_Weight (X),Threshold,Precision (%),Recall (%),F1-Score (%)
gemma3_27b-it-q4_K_M,1.0,0.5,71.66,85.81,78.1
gemma3_27b-it-q4_K_M,0.7,0.5,76.55,79.0,77.75
gemma3_27b-it-q4_K_M,0.7,0.4,70.4,86.65,77.68
gemma3_27b-it-q4_K_M,0.6,0.4,70.57,86.37,77.67
gemma3_27b-it-q4_K_M,0.5,0.4,71.2,85.26,77.59
gemma3_27b-it-q4_K_M,1.0,0.7,81.65,73.02,77.09
gemma3_27b-it-q4_K_M,1.0,0.4,66.91,90.54,76.95
gemma3_27b-it-q4_K_M,0.6,0.5,77.62,76.22,76.91
gemma3_27b-it-q4_K_M,0.4,0.4,71.36,83.17,76.81
gemma3_27b-it-q4_K_M,0.5,0.5,82.43,71.77,76.73
gemma3_27b-it-q4_K_M,1.0,0.6,74.24,78.58,76.35
gemma3_27b-it-q8_0,0.6,0.5,76.3,75.24,75.77
gemma3_27b-it-q8_0,0.7,0.5,73.43,78.03,75.66
gemma3_27b-it-q4_K_M,0.3,0.4,72.69,78.86,75.65
gemma3_27b-it-q8_0,0.5,0.4,68.24,84.28,75.42
gemma3_27b-it-q8_0,0.4,0.4,69.19,82.75,75.36
gemma3_27b-it-q8_0,0.6,0.4,67.14,85.54,75.23
gemma3_27b-it-q8_0,1.0,0.6,71.66,78.44,74.9
gemma3_27b-it-q8_0,1.0,0.7,79.84,70.51,74.89
gemma3_27b-it-q8_0,0.5,0.5,79.43,70.38,74.63
gemma3_27b-it-q8_0,0.7,0.4,65.99,85.54,74.5
gemma3_27b-it-q4_K_M,0.7,0.3,62.91,90.82,74.33
gemma3_27b-it-q8_0,0.3,0.4,69.65,79.14,74.09
gemma3_27b-it-q4_K_M,0.6,0.3,62.38,91.1,74.05
gemma3_27b-it-q8_0,1.0,0.5,65.83,83.59,73.65
gemma3_27b-it-q4_K_M,0.5,0.3,61.48,91.24,73.46
gemma3_27b-it-q4_K_M,0.7,0.6,85.06,64.12,73.12
gemma3_27b-it-q4_K_M,0.4,0.3,59.66,91.93,72.36
gemma3_27b-it-q8_0,0.7,0.6,83.85,63.56,72.31
gemma3_27b-it-q4_K_M,1.0,0.3,58.87,91.38,71.61
gemma3_27b-it-q8_0,1.0,0.4,58.94,88.04,70.61
gemma3_27b-it-q4_K_M,0.4,0.5,82.52,61.06,70.18
gemma3_27b-it-q4_K_M,0.3,0.3,56.23,92.91,70.06
gemma3_27b-it-q8_0,0.7,0.3,56.63,90.82,69.76
gemma3_27b-it-q8_0,0.6,0.3,55.86,90.82,69.17
gemma3_27b-it-q8_0,0.5,0.3,55.47,90.96,68.91
gemma3_27b-it-q8_0,0.4,0.3,54.95,91.79,68.75
gemma3_27b-it-q8_0,0.4,0.5,80.91,59.53,68.59
gemma3_27b-it-q8_0,1.0,0.3,53.24,91.52,67.31
gemma3_27b-it-q8_0,0.3,0.3,52.45,92.21,66.87
gemma3_27b-it-q4_K_M,0.6,0.6,87.76,53.82,66.72
gemma3_27b-it-q8_0,0.6,0.6,85.46,53.13,65.52
gemma3_27b-it-q4_K_M,0.3,0.5,81.95,46.73,59.52
gemma3_27b-it-q8_0,0.3,0.5,79.19,46.04,58.22
gemma3_27b-it-q4_K_M,0.5,0.6,90.6,40.19,55.68
gemma3_27b-it-q8_0,0.5,0.6,87.16,40.61,55.41
gemma3_27b-it-q8_0,0.7,0.7,90.21,35.88,51.34
gemma3_27b-it-q4_K_M,0.7,0.7,90.38,30.04,45.09
gemma3_27b-it-q8_0,0.4,0.6,87.24,29.49,44.07
gemma3_27b-it-q4_K_M,0.4,0.6,88.29,27.26,41.66
gemma3_27b-it-q8_0,0.6,0.7,92.35,23.5,37.47
gemma3_27b-it-q8_0,0.3,0.6,86.96,22.25,35.44
gemma3_27b-it-q4_K_M,0.3,0.6,87.57,21.56,34.6
gemma3_27b-it-q4_K_M,0.6,0.7,92.72,19.47,32.18
gemma3_27b-it-q8_0,0.5,0.7,95.37,14.33,24.91
gemma3_27b-it-q4_K_M,0.5,0.7,93.33,11.68,20.77
gemma3_27b-it-q8_0,0.4,0.7,97.4,10.43,18.84
gemma3_27b-it-q4_K_M,0.4,0.7,92.31,8.34,15.31
gemma3_27b-it-q8_0,0.3,0.7,96.15,6.95,12.97
gemma3_27b-it-q4_K_M,0.3,0.7,89.8,6.12,11.46
