Category,Method,Threshold,Precision (%),Recall (%),F1-Score (%)
BASELINES,bm25,0.2,79.06,56.19,65.69
BASELINES,bm25,0.3,84.86,47.57,60.96
BASELINES,bm25,0.4,87.37,47.15,61.25
BASELINES,bm25,0.5,87.75,42.84,57.57
BASELINES,bm25,0.6,89.27,39.36,54.63
BASELINES,keyword,0.2,90.00,5.01,9.49
BASELINES,keyword,0.3,100.00,0.56,1.11
BASELINES,keyword,0.4,0.00,0.00,0.00
BASELINES,keyword,0.5,0.00,0.00,0.00
BASELINES,keyword,0.6,0.00,0.00,0.00
LLM,gemma3:27b-it-q4_K_M,0.4,67.48,84.84,75.17
LLM,gemma3:27b-it-q4_K_M,0.5,72.11,79.83,75.78
LLM,gemma3:27b-it-q4_K_M,0.6,75.32,74.27,74.79
LLM,gemma3:27b-it-q8_0,0.4,62.33,90.68,73.88
LLM,gemma3:27b-it-q8_0,0.5,67.30,83.31,74.46
LLM,gemma3:27b-it-q8_0,0.6,71.61,77.19,74.30
LLM,orca-mini:latest,0.4,19.54,9.46,12.75
SIMILARITY,all-mpnet-base-v2,0.4,74.21,42.42,53.98
SIMILARITY,all-mpnet-base-v2,0.5,82.20,21.84,34.51
SIMILARITY,all-mpnet-base-v2,0.6,93.75,8.34,15.33
SIMILARITY,deberta,0.4,25.04,100.00,40.06
SIMILARITY,deberta,0.5,25.04,100.00,40.06
SIMILARITY,deberta,0.6,25.04,100.00,40.06
SIMILARITY,roberta,0.4,45.92,55.63,50.31
SIMILARITY,roberta,0.5,61.60,29.90,40.26
SIMILARITY,roberta,0.6,72.87,13.07,22.17
