query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r22;r31;r20;r29;r19;r21;r30;r28;r17;r18
Deploy a database server that must maintain memory above 50% free at all times,r1;r2;r32;r4;r3;r5;r33
Create a video streaming VM with protection against overheating and fan failures,r13
Set up a game server with zero network latency spikes and stable SSH access,r13;r21;r19;r18;r22;r20;r30;r28;r17;r29;r31;r16;r27
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,None
Deploy a critical analytics server with no memory exhaustion risks,r3;r5;r12;r2;r8;r1;r4
Create a high-security server with MTU 1500 enforcement and gateway monitoring,None
Implement a financial trading system with network interface stability guarantees,r18;r21;r19;r22;r20;r17;r31;r28;r30;r16;r29;r23;r27;r24;r25
Build a IoT edge node with temperature controls and fan speed safeguards,r13
Deploy a machine learning host protected against CPU overload scenarios,r9;r7;r10;r8
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r26
Create a Kubernetes master node with network error rate monitoring,r19;r21;r30;r28;r33;r22;r20;r31;r24;r18;r29;r27;r23;r25;r26;r17;r16
Setup a blockchain node with DPDK network safeguards and CPU headroom,r30;r28;r29;r31;r24;r23;r27;r33;r25;r26;r21;r19;r20;r22;r18;r17
Implement a real-time streaming service with RX/TX error prevention,r21;r19
Deploy a high-frequency trading system with zero packet drops,r20;r29;r22
Create an AI inference server with memory buffer monitoring,r32;r4;r2;r1;r33;r5;r3
Provision a medical imaging with guaranteed CPU availability,None
Setup a DNS server with ARP consistency and MTU compliance,None
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r2
Implement a backup server with network flap protection,r18;r22;r20;r21;r19;r31;r29;r30;r28;r24;r23;r27;r25;r16
Deploy a video rendering farm with thermal controls and memory safeguards,r2;r4;r1;r3;r32;r5;r33
Setup a mail server with RX error monitoring and buffer protection,None
Implement a system with CPU utilization guarantees,None
Deploy a monitoring server with packet integrity safeguards,r22;r20
Create a low-latency database cluster with network stability,r13;r21;r19;r22;r20;r28;r30
Provision a node with DPDK optimizations and error detection,r30;r28;r33
Setup a virtualization host with memory buffer guarantees,r4;r32;r5;r2;r1;r33;r3
Implement a system with temperature fail-safes,r11
Deploy a mobile backend with SSH access monitoring,r15
Create a distributed cache system with network drop prevention,r20;r29;r22;r21;r19;r31;r30;r28;r23;r18;r24;r26;r27;r25;r17;r16
Provision a big data analytics node with CPU thermal protection,None
Setup a compliance server with memory usage auditing,r1;r2;r32;r4;r5;r3;r33
Implement a payment gateway with packet integrity checks,None
Create a federated learning node with network buffer guarantees,r23;r25;r21;r19;r22;r20;r33;r18;r24;r28;r30;r31;r29;r27;r17;r26;r16
Provision a quantum computing interface with stability monitoring,None
Setup a AR/VR rendering farm with memory safeguards,r2;r4;r1;r32;r3;r5;r33
Implement a digital twin system with DPDK protections,None
Deploy a edge computing node with fan speed monitoring,r13
Create a smart city IoT hub with network error detection,r19;r21;r30;r28;r33;r22;r20;r31;r29;r24;r27;r18;r25;r26;r23;r16;r17
Provision a robotics control server with CPU guarantees,None
Setup a satellite ground station with packet loss prevention,r22;r31
Implement a weather modeling cluster with thermal controls,None
Deploy a 5G core network element with DPDK optimizations,r30;r28;r29;r31;r26;r24;r27;r23;r19;r21;r25;r20;r22;r33;r18;r17;r16
Deploy a High-Performance Computing (HPC) Cluster with Thermal and Memory safeguards,r2;r13;r4;r33;r32
Provision a Low-Latency Cloud Gaming Platform with Zero Packet Loss,r22;r13;r31
Implement an Autonomous Vehicle Control System with Real-Time network Stability,r19;r21;r22;r20;r30;r28;r18;r29;r31;r23;r24;r27;r26;r25;r16;r17
Implement a Real-Time Video Surveillance System with Frame Loss Prevention,None
Create a Cloud-Based AI Training Cluster with GPU Utilization Monitoring,None
Setup a Global Content Delivery Network (CDN) with Packet integrity Assurance,r22;r20;r31;r29;r19;r21;r17;r18;r28;r30;r16;r27;r24;r23;r26;r25
Implement a Satellite Communication Hub with Signal Integrity Checks,None
Build a Decentralized Blockchain Network with Consensus Stability,r19;r21;r22;r20;r31;r28;r30;r29;r24;r26;r18;r23;r27;r17;r16;r25;r33
Setup an Edge AI Inference Node with Thermal and Memory Safeguards,r2;r4;r1;r32;r3;r5;r33
Deploy a Backup Server with SSH Access and Network Stability,r15
Create an IoT Temperature Sensor Node with Thermal Thresholds,r11
Deploy a Static Web Server with MTU and Packet Loss Monitoring,r22;r31
Setup a Digital Signage System with Fan Speed Safeguards,r13
Create a Home Automation Hub with Stable SSH and Low CPU Load,None
Provision a File Storage Server with Memory and MTU compliance,r2;r1;r4;r32;r3;r5;r33
