query,rule_id,bm25_score,keyword_score
I need a web server with guaranteed CPU availability and no network packet loss,r1,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r2,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r3,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r4,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r5,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r6,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r7,0.4457,0.0833
I need a web server with guaranteed CPU availability and no network packet loss,r8,0.4067,0.0769
I need a web server with guaranteed CPU availability and no network packet loss,r9,0.4457,0.0833
I need a web server with guaranteed CPU availability and no network packet loss,r10,0.4067,0.0769
I need a web server with guaranteed CPU availability and no network packet loss,r11,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r12,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r13,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r14,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r15,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r16,0.1053,0.0625
I need a web server with guaranteed CPU availability and no network packet loss,r17,0.1223,0.0714
I need a web server with guaranteed CPU availability and no network packet loss,r18,0.1330,0.0769
I need a web server with guaranteed CPU availability and no network packet loss,r19,0.1330,0.0769
I need a web server with guaranteed CPU availability and no network packet loss,r20,0.4962,0.1538
I need a web server with guaranteed CPU availability and no network packet loss,r21,0.1330,0.0769
I need a web server with guaranteed CPU availability and no network packet loss,r22,1.0000,0.2500
I need a web server with guaranteed CPU availability and no network packet loss,r23,0.1223,0.0714
I need a web server with guaranteed CPU availability and no network packet loss,r24,0.1330,0.0769
I need a web server with guaranteed CPU availability and no network packet loss,r25,0.1132,0.0667
I need a web server with guaranteed CPU availability and no network packet loss,r26,0.1330,0.0769
I need a web server with guaranteed CPU availability and no network packet loss,r27,0.1223,0.0714
I need a web server with guaranteed CPU availability and no network packet loss,r28,0.1330,0.0769
I need a web server with guaranteed CPU availability and no network packet loss,r29,0.4962,0.1538
I need a web server with guaranteed CPU availability and no network packet loss,r30,0.1330,0.0769
I need a web server with guaranteed CPU availability and no network packet loss,r31,1.0000,0.2500
I need a web server with guaranteed CPU availability and no network packet loss,r32,0.0000,0.0000
I need a web server with guaranteed CPU availability and no network packet loss,r33,0.1132,0.0714
Deploy a database server that must maintain memory above 50% free at all times,r1,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r2,1.0000,0.1000
Deploy a database server that must maintain memory above 50% free at all times,r3,0.9123,0.0909
Deploy a database server that must maintain memory above 50% free at all times,r4,1.0000,0.1000
Deploy a database server that must maintain memory above 50% free at all times,r5,0.9123,0.0909
Deploy a database server that must maintain memory above 50% free at all times,r6,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r7,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r8,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r9,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r10,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r11,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r12,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r13,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r14,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r15,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r16,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r17,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r18,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r19,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r20,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r21,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r22,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r23,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r24,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r25,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r26,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r27,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r28,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r29,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r30,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r31,0.0000,0.0000
Deploy a database server that must maintain memory above 50% free at all times,r32,0.9123,0.0909
Deploy a database server that must maintain memory above 50% free at all times,r33,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r1,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r2,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r3,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r4,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r5,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r6,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r7,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r8,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r9,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r10,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r11,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r12,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r13,1.0000,0.0909
Create a video streaming VM with protection against overheating and fan failures,r14,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r15,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r16,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r17,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r18,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r19,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r20,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r21,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r22,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r23,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r24,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r25,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r26,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r27,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r28,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r29,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r30,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r31,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r32,0.0000,0.0000
Create a video streaming VM with protection against overheating and fan failures,r33,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r1,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r2,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r3,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r4,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r5,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r6,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r7,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r8,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r9,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r10,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r11,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r12,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r13,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r14,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r15,1.0000,0.1667
Set up a game server with zero network latency spikes and stable SSH access,r16,0.0722,0.0588
Set up a game server with zero network latency spikes and stable SSH access,r17,0.0839,0.0667
Set up a game server with zero network latency spikes and stable SSH access,r18,0.0912,0.0714
Set up a game server with zero network latency spikes and stable SSH access,r19,0.0912,0.0714
Set up a game server with zero network latency spikes and stable SSH access,r20,0.0839,0.0667
Set up a game server with zero network latency spikes and stable SSH access,r21,0.0912,0.0714
Set up a game server with zero network latency spikes and stable SSH access,r22,0.0839,0.0667
Set up a game server with zero network latency spikes and stable SSH access,r23,0.0839,0.0667
Set up a game server with zero network latency spikes and stable SSH access,r24,0.0912,0.0714
Set up a game server with zero network latency spikes and stable SSH access,r25,0.0776,0.0625
Set up a game server with zero network latency spikes and stable SSH access,r26,0.0912,0.0714
Set up a game server with zero network latency spikes and stable SSH access,r27,0.0839,0.0667
Set up a game server with zero network latency spikes and stable SSH access,r28,0.0912,0.0714
Set up a game server with zero network latency spikes and stable SSH access,r29,0.0839,0.0667
Set up a game server with zero network latency spikes and stable SSH access,r30,0.0912,0.0714
Set up a game server with zero network latency spikes and stable SSH access,r31,0.0839,0.0667
Set up a game server with zero network latency spikes and stable SSH access,r32,0.0000,0.0000
Set up a game server with zero network latency spikes and stable SSH access,r33,0.0776,0.0667
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r1,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r2,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r3,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r4,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r5,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r6,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r7,1.0000,0.1000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r8,0.9123,0.0909
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r9,1.0000,0.1000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r10,0.9123,0.0909
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r11,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r12,0.0000,0.0000
